<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KRME.XXBTZUSD;D;20211207;000000;50544.8000000;51955.0000000;50100.0000000;50650.1000000;2713
KRME.XXBTZUSD;D;20211208;000000;50650.1000000;51202.5000000;48579.3000000;50515.1000000;2997
KRME.XXBTZUSD;D;20211209;000000;50525.1000000;50819.5000000;47298.4000000;47581.6000000;2691
KRME.XXBTZUSD;D;20211210;000000;47576.4000000;50114.2000000;46888.8000000;47218.3000000;3324
KRME.XXBTZUSD;D;20211211;000000;47173.9000000;49500.0000000;46800.0000000;49367.2000000;2068
KRME.XXBTZUSD;D;20211212;000000;49406.0000000;50788.4000000;48697.8000000;50113.2000000;2022
KRME.XXBTZUSD;D;20211213;000000;50098.8000000;50219.8000000;45759.0000000;46732.2000000;4915
KRME.XXBTZUSD;D;20211214;000000;46732.2000000;48690.0000000;46313.7000000;48399.2000000;3831
KRME.XXBTZUSD;D;20211215;000000;48399.2000000;49512.5000000;46632.0000000;48881.3000000;4250
KRME.XXBTZUSD;D;20211216;000000;48881.8000000;49465.6000000;47560.0000000;47631.0000000;3345
KRME.XXBTZUSD;D;20211217;000000;47639.9000000;48001.9000000;45500.0000000;46168.3000000;3795
KRME.XXBTZUSD;D;20211218;000000;46166.6000000;47333.6000000;45520.2000000;46864.3000000;1869
KRME.XXBTZUSD;D;20211219;000000;46858.0000000;48289.0000000;46484.8000000;46688.4000000;2067
KRME.XXBTZUSD;D;20211220;000000;46687.8000000;47549.8000000;45600.0000000;46898.1000000;2989
KRME.XXBTZUSD;D;20211221;000000;46907.3000000;49321.1000000;46676.5000000;48925.9000000;3879
KRME.XXBTZUSD;D;20211222;000000;48925.9000000;49599.8000000;48491.0000000;48624.9000000;2037
KRME.XXBTZUSD;D;20211223;000000;48624.9000000;51391.2000000;48042.3000000;50818.8000000;3079
KRME.XXBTZUSD;D;20211224;000000;50818.8000000;51844.4000000;50456.0000000;50834.3000000;2363
KRME.XXBTZUSD;D;20211225;000000;50834.2000000;51154.2000000;50209.2000000;50436.0000000;1223
KRME.XXBTZUSD;D;20211226;000000;50436.1000000;51242.0000000;49427.9000000;50797.3000000;1079
KRME.XXBTZUSD;D;20211227;000000;50797.4000000;52111.0000000;50480.2000000;50687.4000000;1629
KRME.XXBTZUSD;D;20211228;000000;50687.5000000;50693.5000000;47305.5000000;47548.1000000;3522
KRME.XXBTZUSD;D;20211229;000000;47549.8000000;48123.7000000;46120.0000000;46473.2000000;2347
KRME.XXBTZUSD;D;20211230;000000;46464.5000000;47907.4000000;45930.1000000;47143.8000000;1929
KRME.XXBTZUSD;D;20211231;000000;47143.8000000;48591.6000000;45530.3000000;46150.0000000;3113
KRME.XXBTZUSD;D;20220101;000000;46150.0000000;47922.6000000;46150.0000000;47738.3000000;2134
KRME.XXBTZUSD;D;20220102;000000;47736.5000000;47950.4000000;46700.0000000;47304.6000000;1344
KRME.XXBTZUSD;D;20220103;000000;47301.2000000;47567.2000000;45707.9000000;46452.6000000;2133
KRME.XXBTZUSD;D;20220104;000000;46452.5000000;47500.0000000;45548.7000000;45858.5000000;2220
KRME.XXBTZUSD;D;20220105;000000;45858.5000000;47066.5000000;42505.0000000;43410.0000000;4070
KRME.XXBTZUSD;D;20220106;000000;43432.5000000;43748.0000000;42424.0000000;43124.4000000;4795
KRME.XXBTZUSD;D;20220107;000000;43124.5000000;43134.9000000;40666.0000000;41523.6000000;5771
KRME.XXBTZUSD;D;20220108;000000;41523.7000000;42302.4000000;40555.0000000;41693.2000000;2565
KRME.XXBTZUSD;D;20220109;000000;41693.2000000;42786.7000000;41249.7000000;41862.9000000;2007
KRME.XXBTZUSD;D;20220110;000000;41867.1000000;42239.6000000;39659.9000000;41855.3000000;4131
KRME.XXBTZUSD;D;20220111;000000;41855.2000000;43127.5000000;41315.5000000;42728.8000000;3317
KRME.XXBTZUSD;D;20220112;000000;42728.8000000;44348.5000000;42480.0000000;43927.8000000;2848
KRME.XXBTZUSD;D;20220113;000000;43927.8000000;44420.1000000;42352.0000000;42550.0000000;2960
KRME.XXBTZUSD;D;20220114;000000;42550.0000000;43473.1000000;41800.0000000;43090.0000000;2712
KRME.XXBTZUSD;D;20220115;000000;43090.0000000;43791.6000000;42600.0000000;43111.5000000;976
KRME.XXBTZUSD;D;20220116;000000;43111.5000000;43463.8000000;42614.9000000;43114.5000000;1264
KRME.XXBTZUSD;D;20220117;000000;43114.5000000;43200.6000000;41579.2000000;42248.1000000;1677
KRME.XXBTZUSD;D;20220118;000000;42248.0000000;42667.0000000;41288.0000000;42383.0000000;1862
KRME.XXBTZUSD;D;20220119;000000;42371.3000000;42577.8000000;41159.0000000;41686.2000000;1920
KRME.XXBTZUSD;D;20220120;000000;41686.2000000;43497.4000000;40577.1000000;40686.9000000;3096
KRME.XXBTZUSD;D;20220121;000000;40686.9000000;41115.7000000;35409.7000000;36468.4000000;8877
KRME.XXBTZUSD;D;20220122;000000;36446.2000000;36814.5000000;34007.7000000;35067.6000000;5383
KRME.XXBTZUSD;D;20220123;000000;35070.8000000;36500.0000000;34613.3000000;36277.5000000;2386
KRME.XXBTZUSD;D;20220124;000000;36270.1000000;37500.0000000;32940.1000000;36699.5000000;7640
KRME.XXBTZUSD;D;20220125;000000;36699.5000000;37552.8000000;35685.3000000;36987.8000000;3187
KRME.XXBTZUSD;D;20220126;000000;36994.6000000;38899.9000000;36251.2000000;36827.6000000;5526
KRME.XXBTZUSD;D;20220127;000000;36827.7000000;37242.5000000;35548.5000000;37200.5000000;4276
KRME.XXBTZUSD;D;20220128;000000;37168.0000000;37999.9000000;36172.3000000;37737.9000000;2663
KRME.XXBTZUSD;D;20220129;000000;37735.7000000;38719.5000000;37275.7000000;38164.9000000;1738
KRME.XXBTZUSD;D;20220130;000000;38188.3000000;38358.0000000;37389.0000000;37930.1000000;1038
KRME.XXBTZUSD;D;20220131;000000;37914.0000000;38786.0000000;36667.5000000;38512.1000000;2521
KRME.XXBTZUSD;D;20220201;000000;38512.0000000;39290.0000000;38050.0000000;38719.9000000;3336
KRME.XXBTZUSD;D;20220202;000000;38721.4000000;38878.8000000;36600.0000000;36903.3000000;2726
KRME.XXBTZUSD;D;20220203;000000;36921.5000000;37389.0000000;36269.8000000;37324.4000000;1722
KRME.XXBTZUSD;D;20220204;000000;37324.3000000;41774.0000000;37073.9000000;41585.5000000;4270
KRME.XXBTZUSD;D;20220205;000000;41597.2000000;41926.4000000;40883.7000000;41419.0000000;2211
KRME.XXBTZUSD;D;20220206;000000;41419.0000000;42694.5000000;41141.9000000;42419.5000000;1818
KRME.XXBTZUSD;D;20220207;000000;42426.1000000;44528.6000000;41697.4000000;43867.2000000;4598
KRME.XXBTZUSD;D;20220208;000000;43873.1000000;45500.0000000;42709.6000000;44079.1000000;3421
KRME.XXBTZUSD;D;20220209;000000;44083.1000000;44831.0000000;43187.2000000;44420.0000000;3210
KRME.XXBTZUSD;D;20220210;000000;44420.1000000;45900.0000000;43228.0000000;43537.5000000;5479
KRME.XXBTZUSD;D;20220211;000000;43537.5000000;43944.9000000;42000.0000000;42400.2000000;3361
KRME.XXBTZUSD;D;20220212;000000;42400.1000000;43038.2000000;41760.6000000;42241.0000000;1940
KRME.XXBTZUSD;D;20220213;000000;42241.1000000;42768.5000000;41893.1000000;42062.6000000;1125
KRME.XXBTZUSD;D;20220214;000000;42062.5000000;42852.0000000;41573.1000000;42563.5000000;1918
KRME.XXBTZUSD;D;20220215;000000;42563.4000000;44770.8000000;42469.6000000;44563.1000000;2191
KRME.XXBTZUSD;D;20220216;000000;44563.1000000;44580.2000000;43236.5000000;43873.1000000;1753
KRME.XXBTZUSD;D;20220217;000000;43873.0000000;44179.4000000;40100.0000000;40543.9000000;3690
KRME.XXBTZUSD;D;20220218;000000;40547.4000000;40957.3000000;39455.6000000;40007.4000000;2829
KRME.XXBTZUSD;D;20220219;000000;40007.4000000;40450.0000000;39669.9000000;40095.8000000;883
KRME.XXBTZUSD;D;20220220;000000;40094.3000000;40135.1000000;38000.0000000;38400.0000000;2788
